ID;LITERAL;CIE9;CIE10;CONCEPTID
18529;NEFROPATIA DIABETICA;250.4;E08.21;127013003
19142;DESCOMPENSACION DIABETICA;250.81;E10.618;268519009
19392;NEUROPATIA DIABETICA;250.60;E11.40;230572002
19391;DIABETES MELLITUS. NEFROPATIA DIABETICA;250.4;E08.21;127013003
19166;MICROANEURISMAS RETINIANOS DIABETICOS;250.50;E11.319;25412000
19076;DESCOMPENSACION DIABETICA-;250.81;E10.618;268519009
19560;CETOACIDOSIS DIABETICA;250.11;E10.10;420422005
15871;DIABETES CON DESCOMPENSACION HIPEROSMOLAR;250.2;E11.00;310505005
15870;DIABETES MELLITUS CON COMA HIPEROSMOLAR;250.2;E11.00;190329007
15869;CETOACIDOSIS DIABETICA.;250.11;E10.10;420422005
15868;DM1;250.01;E10.9;313435000
15867;DIABETES MELLITUS TIPO 1 SIN COMPLICACIONES     ( DM1 );250.01;E10.9;313435000
15866;DIABETES MELLITUS TIPO 2     ( DM2 );250.00;E11.9;44054006
15571;DIABETES MELLITUS TIPO 2 TRATADA CON INSULINA;250.00;E11.65;237599002
15570;DIABETES MELLITUS TIPO 2 TRATADA CON ANTIDIABETICOS ORALES     ( ADO );250.00;E11.65;44054006
15259;MAL PERFORANTE PLANTAR;707.15;L97.509;59483006
15258;PIE DIABETICO;250.80;E11.5;280137006
15257;ULCERA PLANTAR. DIABETICO;250.8;E11.5;371087003
15256;ULCERA DIABETICA VASCULAR DEL PIE.  PIE DIABETICO;707.15;L97.909;201250006
15255;MAL PERFORANTE PLANTAR. PREDOMINIO VASCULAR;707.15;L97.509;238794007
15254;GANGRENA DIABETICA;250.70;E11.52;25907005
15253;ULCERA PLANTAR. DIABETICO CON PREDOMINIO VASCULAR;707.15;L97.909;201250006
15252;ULCERA DIABETICA NEUROPATICA DEL PIE.  PIE DIABETICO;707.15;L97.509;201251005
15251;ULCERA DIABETICA NEUROPATICA DEL PIE.  PIE DIABETICO-;707.15;L97.509;201251005
15250;MAL PERFORANTE PLANTAR. PREDOMINIO NEUROPATICO;707.15;L97.509;59483006
15249;DIABETES MELLITUS TIPO 2 CONTROLADA CON DIETA;250.00;E11.65;164971000119101
15248;DIABETES MELLITUS TIPO 1     ( DM1 );250.01;E10.9;46635009
2486;DIABETES MELLITUS TIPO 2 CON MULTIPLES COMPLICACIONES;250.82;E11.69;190388001
2485;DIABETES MELLITUS TIPO 1 CON OTRAS MANIFESTACIONES NO DESCOMPENSADA     ( DM1 );250.81;E10.618;422228004
