id;literal;cie9;cie10;snomed
701;DOLOR DE MIEMBRO EN REPOSO DEBIDO A ATEROSCLEROSIS DE ARTERIA NATIVA;440.22;I70.229;149841000119109
701;DOLOR DE MIEMBRO EN REPOSO DEBIDO A ATEROSCLEROSIS DE ARTERIA NATIVA;440.22;I70.229;149841000119109
701;DOLOR DE MIEMBRO EN REPOSO DEBIDO A ATEROSCLEROSIS DE ARTERIA NATIVA;440.22;I70.229;149841000119109
701;DOLOR DE MIEMBRO EN REPOSO DEBIDO A ATEROSCLEROSIS DE ARTERIA NATIVA;440.22;I70.229;149841000119109
743;CLAUDICACION INTERMITENTE DE AMBOS MIEMBROS INFERIORES CONCOMITANTE CON ATEROSCLEROSIS Y DEBIDA A ELLA;440.21;I70.219;12236951000119108
743;CLAUDICACION INTERMITENTE DE AMBOS MIEMBROS INFERIORES CONCOMITANTE CON ATEROSCLEROSIS Y DEBIDA A ELLA;440.21;I70.219;12236951000119108
743;CLAUDICACION INTERMITENTE DE AMBOS MIEMBROS INFERIORES CONCOMITANTE CON ATEROSCLEROSIS Y DEBIDA A ELLA;440.21;I70.219;12236951000119108
743;CLAUDICACION INTERMITENTE DE AMBOS MIEMBROS INFERIORES CONCOMITANTE CON ATEROSCLEROSIS Y DEBIDA A ELLA;440.21;I70.219;12236951000119108
743;CLAUDICACION INTERMITENTE DE AMBOS MIEMBROS INFERIORES CONCOMITANTE CON ATEROSCLEROSIS Y DEBIDA A ELLA;440.21;I70.219;12236951000119108
752;CLAUDICACION INTERMITENTE DE MIEMBRO INFERIOR DERECHO CONCOMITANTE CON ATEROSCLEROSIS Y DEBIDA A ELLA;440.21;I70.211;12237191000119103
752;CLAUDICACION INTERMITENTE DE MIEMBRO INFERIOR DERECHO CONCOMITANTE CON ATEROSCLEROSIS Y DEBIDA A ELLA;440.21;I70.211;12237191000119103
752;CLAUDICACION INTERMITENTE DE MIEMBRO INFERIOR DERECHO CONCOMITANTE CON ATEROSCLEROSIS Y DEBIDA A ELLA;440.21;I70.211;12237191000119103
752;CLAUDICACION INTERMITENTE DE MIEMBRO INFERIOR DERECHO CONCOMITANTE CON ATEROSCLEROSIS Y DEBIDA A ELLA;440.21;I70.211;12237191000119103
