ID;LITERAL;CIE9;CIE10;CONCEPTID
18904;FUMADOR EN TRATAMIENTO;305.1;F17.200;77176002
19139;PERSONA FUMADORA EN FASE DE MANTENIMIENTO ( ABSTINENCIA DE 3 A 12 MESES );305.13;F17.201;32991000122109
19138;PERSONA FUMADORA EN FASE DE ACCION ( ABSTINENCIA DE MENOS DE 3 MESES );305.13;F17.201;32981000122106
19137;PERSONA FUMADORA EN FASE DE PREPARACION ( SE PLANTEA DEJAR DE FUMAR EN UN MES );305.11;F17.200;32971000122108
19136;PERSONA FUMADORA EN FASE CONTEMPLATIVA ( SE PLANTEA DEJAR DE FUMAR ANTES DE 6 MESES );305.11;F17.200;32961000122103
18820;ABUSO DE TABACO EN VIAS DE REMISION;305.13;F17.201;191889006
18819;ABUSO DE TABACO EPISODICO;305.12;F17.200;191888003
18818;ABUSO DE TABACO CONTINUO;305.11;F17.200;191887008
18817;ABUSO DE TABACO;305.10;F17.200;89765005
15572;PERSONA FUMADORA CONSONANTE. ABUSO DE TABACO;305.1;F17.200;77176002
16255;TABAQUISMO- REGISTRO DUPLICADO;305.1;F17.200;89765005
16254;DEPENDENCIA DEL TABACO;305.1;F17.200;870621003
16253;ABUSO DE TABACO- REGISTRO DUPLICADO;305.10;F17.200;89765005
19374;TABAQUISMO;305.10;F17.200;89765005
19369;PERSONA FUMADORA SIN DETERMINAR FASE;305.10;F17.200;32941000122102
46;ABSCESO AMEBIANO DE CEREBRO;006.5;A06.6;27908001
45;ABSCESO AMEBIANO DEL PULMON;006.4;A06.5;65095005
44;ABSCESO AMEBIANO DEL HIGADO;006.3;A06.4;75119003
43;COLITIS AMEBIANA NO DISENTERICA;006.2;A06.2;55023005
42;AMEBIASIS INTESTINAL CRONICA SIN ABSCESOS;006.1;A06.1;111911008
41;DISENTERIA AMEBICA AGUDA SIN ABSCESO;006.0;A06.0;111912001
3177;PERSONA FUMADORA DISONANTE. ABUSO DE TABACO;305.1;F17.200;77176002
19135;PERSONA FUMADORA EN FASE PRECONTEMPLATIVA (NO SE PLANTEA DEJAR DE FUMAR EN LOS PROXIMOS 6 MESES);305.11;F17.200;32951000122100
